gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,dvt,ebit,lct,lt,ni,sale,seq,costat,prcc_c
005597,20211231,2021,INDL,C,D,STD,HSY,USD,2246.2060,10412.2310,2757.2290,206.1090,686.2490,2091.3080,2493.3130,7655.0020,1477.5120,8971.3370,2757.2290,A,193.4700
005606,20211031,2021,INDL,C,D,STD,HPQ,USD,22170.0000,38610.0000,-1650.0000,1092.2050,938.0000,5615.0000,29096.0000,40260.0000,6503.0000,63487.0000,-1650.0000,A,37.6700
005608,20211231,2021,INDL,C,D,STD,HXL,USD,616.3000,2819.4000,1485.5000,84.0000,0.0000,70.6000,247.6000,1333.9000,16.1000,1324.7000,1485.5000,A,51.8000
005643,20211231,2021,INDL,C,D,STD,HLT,USD,2871.0000,15441.0000,-821.0000,279.0910,0.0000,1017.0000,3019.0000,16260.0000,410.0000,5788.0000,-821.0000,A,155.9900
005680,20210131,2020,INDL,C,D,STD,HD,USD,28477.0000,70581.0000,3299.0000,1077.0000,6451.0000,20626.0000,23166.0000,67282.0000,12866.0000,132110.0000,3299.0000,A,265.6200
005690,20211231,2021,INDL,C,D,STD,HNI,USD,523.4940,1497.8970,589.6440,42.5820,53.6890,100.8200,506.4480,907.9300,59.8140,2184.4080,589.6440,A,42.0500
005709,20211031,2021,INDL,C,D,STD,HRL,USD,2947.8160,12696.3290,6972.8830,542.4120,530.6400,1118.0390,1415.6540,5717.9680,908.8390,11386.1890,6972.8830,A,48.8100
005742,20211231,2021,INDL,C,D,STD,CNP,USD,7355.0000,37679.0000,8625.0000,628.9240,499.0000,1402.0000,4287.0000,28261.0000,1486.0000,8352.0000,9418.0000,A,27.9100
005750,20211031,2021,INDL,C,D,STD,HOV,USD,,2320.5080,39.5980,6.2550,0.0000,346.5760,,2145.1240,607.8170,2782.8570,174.8970,A,127.2900
005763,20211031,2021,INDL,C,D,STD,UBA,USD,,973.8520,350.9040,40.2280,42.6750,55.1740,,330.5530,47.2830,140.1580,575.9040,A,21.3000
005764,20211231,2021,INDL,C,D,STD,HUBB,USD,1879.3000,5281.5000,2229.8000,54.5180,217.4000,542.1000,1065.2000,3040.8000,399.5000,4194.1000,2229.8000,A,208.2700
005783,20211231,2021,INDL,C,D,STD,JBHT,USD,2313.3690,6794.3480,3117.8160,105.0940,124.4420,1042.1700,1729.6000,3676.5320,760.8060,12168.3020,3117.8160,A,204.4000
005786,20211231,2021,INDL,C,D,STD,HBAN,USD,,174064.0000,17130.0000,1437.7420,957.0000,2994.0000,,154746.0000,1295.0000,6074.0000,19297.0000,A,15.4200
005860,20211231,2021,INDL,C,D,STD,ITT,USD,1722.1000,3565.4000,2225.8000,85.5000,76.2000,418.1000,928.3000,1334.7000,316.3000,2765.0000,2225.8000,A,102.1900
005870,20211231,2021,INDL,C,D,STD,IDA,USD,595.8730,7210.5150,2668.4360,50.5160,146.0730,329.6510,325.6240,4535.2810,245.5500,1458.0840,2668.4360,A,113.3100
005878,20211231,2021,INDL,C,D,STD,ITW,USD,6374.0000,16077.0000,3625.0000,312.9000,1483.0000,3477.0000,3470.0000,12451.0000,2694.0000,14455.0000,3625.0000,A,246.8000
005968,20211231,2021,INDL,C,D,STD,RYI,USD,1593.0000,2365.6000,537.2000,38.3940,6.4000,435.6000,751.0000,1821.0000,294.3000,5675.3000,537.2000,A,26.0500
005987,20210930,2021,INDL,C,D,STD,GFF,USD,1366.2790,2604.6850,807.1580,56.6130,16.7310,192.0010,531.6360,1797.5270,79.2110,2270.6260,807.1580,A,28.4800
006008,20211231,2021,INDL,C,D,STD,INTC,USD,57718.0000,168406.0000,95391.0000,4070.0000,5644.0000,22082.0000,27462.0000,73015.0000,19868.0000,79024.0000,95391.0000,A,51.5000
006066,20211231,2021,INDL,C,D,STD,IBM,USD,29539.0000,132001.0000,18901.0000,898.0690,5869.0000,6694.0000,33619.0000,113005.0000,5743.0000,57350.0000,18901.0000,A,133.6600
006078,20211231,2021,INDL,C,D,STD,IFF,USD,6987.0000,39658.0000,21082.0000,254.5740,785.0000,1240.0000,3633.0000,18436.0000,270.0000,11656.0000,21082.0000,A,150.6500
006100,20211231,2021,INDL,C,D,STD,IDCC,USD,1050.2850,1628.1560,745.2390,30.6890,43.7460,109.1830,371.5610,875.2390,55.2950,425.4090,745.2390,A,71.6300
006104,20211231,2021,INDL,C,D,STD,IP,USD,7096.0000,25243.0000,9082.0000,378.5540,793.0000,1506.0000,4144.0000,16161.0000,1752.0000,19363.0000,9082.0000,A,46.9800
006136,20211231,2021,INDL,C,D,STD,IPG,USD,11231.8000,19909.2000,3526.0000,394.3000,428.0000,1446.8000,10890.0000,16304.4000,952.8000,10240.7000,3526.0000,A,37.4500
006223,20211231,2021,INDL,C,D,STD,EME,USD,3390.9940,5441.4460,2252.3870,53.3000,28.3490,530.8000,2361.7310,3188.3570,383.5320,9903.5800,2252.3870,A,127.3900
006266,20211231,2021,INDL,C,D,STD,JNJ,USD,60979.0000,182018.0000,74023.0000,2628.9650,11032.0000,24815.0000,45226.0000,107995.0000,20878.0000,93775.0000,74023.0000,A,171.0700
006268,20210930,2021,INDL,C,D,STD,JCI,USD,9998.0000,41890.0000,17562.0000,708.7330,771.0000,2807.0000,9098.0000,23137.0000,1637.0000,23674.0000,17562.0000,A,81.3100
006304,20210630,2021,INDL,C,D,STD,KLAC,USD,5696.2480,10271.1240,3377.5540,152.7760,561.3760,2500.9000,2103.2270,6895.4820,2078.2920,6918.7340,3377.5540,A,430.1100
006310,20211231,2021,INDL,C,D,STD,KMI,USD,3829.0000,70416.0000,30823.0000,2267.3920,2443.0000,4533.0000,5821.0000,38495.0000,1784.0000,16610.0000,30823.0000,A,15.8600
006326,20211231,2021,INDL,C,D,STD,KAMN,USD,546.5430,1198.4820,796.3290,27.8600,22.2690,57.6040,120.9350,402.1530,43.6760,708.9930,796.3290,A,43.1500
006375,20211231,2021,INDL,C,D,STD,K,USD,3394.0000,18178.0000,3720.0000,341.3770,788.0000,1815.0000,5315.0000,13963.0000,1488.0000,14181.0000,3720.0000,A,64.4200
